dialogue_prepared,summary_prepared,generated_summary
"Jason: Yo, what are you doing after work?
Mike: Going to the gym and then home boy.
Jason: You eating at home?
Mike: Yep, bring your food and come over.
Jason: Will do. Afterwards we play some Destiny 2 on ps4?
Mike: You bet ya, that game is so addictive!
Jason: Ok cya later then!´
Mike: Oh yeah👌","After work, Mike is going to go to the gym and then home. He invites Jason to bring some food and come over. They can play 2 on ps4.","""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do that.""

He added: ""I think it's going to take some time. I think"
"Kate: I just had a fight with Chris :/
Mary: Oh no, not again
Kate: It's not me who started it. I don't know why he says certain stuff, it seems like he's doing it on purpose
Mary: What was it this time?
Kate: Same thing, as always. Really, he knows what I think and I know what he thinks so I don't bring up certain things. I don't want to argue, but if it keeps happening, I don't see the point of talking to him
Kate: I'm angry every single time I talk with him
Mary: Eh, I don't get why he keeps doing it. What did he say?
Kate: I don't want to get worked up over it again, but really usual stuff. He watched a programme about the refugees and went on a rant about it
Mary: oh god
Kate: right?! I don't know why I'm still talking with him. I tried to talk some sense into him, apparently with no luck
Mary: What did you tell him?
Kate: What I usually tell him. He was an immigrant once, he was working abroad, I sent him all the data and research, statistics, everything.
Mary: I'm afraid Chris may be too pig-headed for that
Kate: Pfff I bet he didn't even read anything. He's just watching the nationalists, Trump and all those idiots, listens to everything they're saying on the telly instead of just thinking for once
Mary: I know, to be honest I kind of avoid these subjects when I'm talking with him
Kate: Well, I try to as well, but as you can see he can't stop himself
Kate: I know he's our friend and we go out often, but I'm not sure I can do it any more, I don't want be friends with someone who thinks that Mexican children are worse and that they should be kept away from the US
Mary: Oh my god he said that?
Kate: Yes :/
Mary: Jesus, I knew he has strong views, but to say something like that? That's a bit too much
Kate: You're telling me this. I think we should reconsider this let's say friendship, because if every conversation will lead to something like this, I'm not interested in staying in touch with him
Mary: No wonder",Kate had a fight with Chris about refugees. He thinks the U.S. should not accept them. Kate and Mary do not share this opinion. They are having second thoughts about their friendship.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it.""

He added: ""I think it's going to take a lot of time. I think it will take a long time"
"Marco: hi there! is this yours?
Marco: <file_photo>
Marco: somebody left it at my place yesterday
Sandra: ooops yes its mine
Sandra: its Millas present, I bought it right before your party
Sandra: can you bring it over?",Sandra bought a present for Milla right before Marco's party and left it in his place. She asks Marco to bring it over.,"""I think it's important for us to do something about it,"" he said. ""We're not going to be able to do it alone. We're going to have to work together.""

He added: ""I think we need to do more. We need to be more proactive. We have to"
"Ana: You sleeping?
Catherine: Not yet.
Ana: Wanna go visit grandma tomorrow? I miss her.
Catherine: Yeah that would be nice :) I'll call you when I wake up
Ana: Oki :) sleep well, good night.
Catherine: Good night, u too.",Ana wants to visit grandma tomorrow. Catherine will go with her. She will call Anna when she wakes up.,"""I think it's important for us to do something about it,"" he said. ""I think we need to do a lot of things. We need to make sure that we're doing things that are good for the community and good for our community.""

""We need to take a look at what's"
"Daniel: Yo, at what time do you get out of work?
Missy: At 6.
Daniel: Drinks after dinner?
Missy: Totally!
Daniel: Cool.",Daniel will see Missy after 6 for drinks.,"""I don't know what to say to that,"" he said. ""I'm not sure what to think about it. I don't think it's going to change my life. I'm not going to be able to do that. But I'm going to do what I can to help my family."""
"James: I am driving there, need a ride?
Richard: That's perfect, thanks, what time should I be ready?
James: 6:15?
Richard: I'll be waiting!",James will pick up Richard at 6:15.,"""I don't know what to say,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it.""

He added: ""I think it's going to take a lot of time. I think it will take a long time."""
"Don: What did you buy for Nancy's birthday?
Margot: A bottle of nice wine.
Yvonne: I didn't buy anything yet :/",Margot bought a bottle of nice wine for Nancy's birthday.,"""I think it's important for us to do something about it,"" he said.

""We're not going to be able to do anything about it. We're going to have to look at it and see what we can do.""

He added: ""I think we need to make sure that"
"Julie: Most of the people will be girls from the village 40+
Debra: i dont care, village girls are super cool
Julie: it will be awesome to meet up again
Debra: it is over the weekend and looking into my calendar it seems im available
Julie: awesome! so youre on the list <3
Debra: <3
Julie: yeah, we'e gonna drink a little vodka :P
Debra: :D
Julie: go on debbie and share the event on your wall, we need some recognition haha
Debra: brace yourself Jules :D how many people are coming?
Julie: its 20","Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+.","""I think it's important for us to do something about it,"" he said. ""We need to make sure that we're doing something about this.""

He added: ""I think we need to do a lot of things about it. We need to look at what's going on in the world and"
"Adam: Have you talked to May?
Karen: Yes, yesterday, why?
Adam: I just talked to her and I must admit I worry about her
Karen: Me too, I suggested she should see a specialist, but she wasn't very happy about it
Adam: No wonder...
Karen: I know, but I think this is serious. She's saying she's depressed, like everyone around, but in her case it may be true
Adam: She was telling me she doesn't feel like doing anything, she's bored all the time, she never feels happy. It sounds like a real, typical depression
Adam: She also told me that she has trouble sleeping. I asked her to go out for a beer or anything basically, but she doesn't want to leave the flat
Karen: Oh my, it sounds really serious. I don't what to tell you
Adam: I was wondering how I can help her
Karen: Honestly I don't know if we can help her, Adam. I suggested a specialist because these are very sensitive issues and I'm afraid we may unintentionally make it worse
Adam: Yes, but she doesn't want to see a specialist. Basically, she doesn't want to see anyone
Karen: Hm... I don't know... How about I call someone for advice? So we could know what to do
Adam: Sounds rational, do you know anyone you could call? Don't mention her name
Karen: Of course I won't! I have a friend who's a psychologist, we can trust her. I'll let you know
Adam: Thank you Karen!",Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice.,"I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

If you're not sure what you want to do with your life, you're probably not going to be able to do it well. You're probably going to feel like you're stuck"
"Daisy: going home?
Lisa: not yet
Daisy: please be back before 11 pm
Lisa: ok",Lisa isn't going home yet. Daisy wants her to be back before 11 p.m.,"""I'm not going to lie to you,"" he said. ""I'm going to tell you what I think. I'm not lying to you. I don't know what you're talking about.""

He added: ""I don't think you're going to believe what I'm saying. I think"
"Simon: <file_photo>
Simon: It's funny and scary at the same time.
Simon: BTW it's so annoying that people can't see that such immigration policy reduces safety level for citizens of EU significantly
Charlie: This photo is great. It totally shows what do we all mean when we criticize EU policy. 
Charlie: Berlin has put concrete blocks around Christmas fair, Belgium has soldiers running armed around cities and Paris has mass demonstrations and car arsons happening all over the city.
Charlie: Poland though...
Charlie: One of the last countries unspoilt by uncontrolled migration and terrorism
Charlie: The question is - for how long...
Simon: I always say that there is advantage of the polish situation
Simon: I mean being economically delayed for few decades
Simon: Poland has a chance to develop in fast pace and at the same time has a position to avoid all the mistakes other western powers made.
Simon: The worst thing is that the country is being ostracized by defending it's values and interests. 
Charlie: Yup. And as long as there are people in Poland ready to defend that values, the country will be marginalized by every other nation.
Simon: I admire Poles.
Simon: I admire them for they will to fight.
Simon: They never give up.
Charlie: Different countries tried to eliminate them from the map.
Simon: I tell you, there will be time, when only Poland will have power to fight with internal problems of Europe.
Charlie: Maybe. But there is a risk that internal conflict will rip the country apart.
Simon: Let's hope not.
Charlie: Yup. To conclude: Christmas in Poland will be the best Christmas in Europe :D
Simon: I agree :)",Simon and Charlie admire Poland for its anti-immigration policy and the way it defends its values and interests.,"""I don't know what to say to that,"" he said. ""I'm not going to tell you what to do, but I'm going to try to help you.""

He added: ""I think it's going to be a very good year for us. I think we're going to win"
"Morgan: Hey gorgeous, how’s your day?
Suzanne: Nothing special, it’s just one of many boring days at work. But… better now though!
Morgan: Are you working at all? 😉
Suzanne: I’m trying 😉 But you aren’t helping me, at all
Suzanne: I’m just taking a well-deserved break 😉
Morgan: I miss you Suzie
Suzanne: I miss you too Morgan
Morgan: Do you feel like going to a concert next week? Maroon 5 is playing at the Hulu Theater at Madison Square Garden.
Morgan: As it happens, I’ve got two tickets 😉
Morgan: Do you want to go?
Suzanne: Really? OMG! That’s wonderful!
Suzanne: Thank you sweetheart!
Morgan: Oh, nothing. I just want you to be happy 😉",Suzanne is at work and is having a break now. Morgan invites Suzanne to a concert of Maroon 5 which takes place next week at the Hulu Theatre at Madison Square Garden. Suzzanne agrees.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to get out there and do what I can.""

He said he"
"Keith: Hi there kiddo, when are you planning to visit you old parents? :)
Laura: Hey Dad, I'm not sure yet. I've been pretty busy recenlty.There is this big project coming…
Keith: Oh, I understand, all work and no play…XD
Laura: Daad! Don't be mean! You know I treat studying seriously!
Keith: I know, you take after your mum :) By the way I think she bought some b-day gift for you…
Laura: Next Saturday it is then :D 
Keith: I'll tell mum, she'll be really happy:)
Laura: And please cook your lasagne! I miss it so badly …
Keith: I'll se what I can do Pumpkin, le'ts stay in touch :)",Laura is going to visit her parents next Saturday. Keith might make a lasagne for her. Laura's mom has a birthday gift for her.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to go out there and do what I can to help this team win."""
"Nate: They've just sent me an excel file with all the registrations
Julie: how are we doing??
Nate: overbooked!
Julie: no...
Nate: a little bit. I guess that's better than having half of the room empty
Julie: how many people for the first day dinner?
Nate: Let me check...
Julie: ok
Nate: shit this is the worst, the registrations are transformed into text in Excel
Julie: omg what registration system is that
Nate: shitty one
Julie: what should be do?
Nate: I have to create a new file and feed the data into the tables myself
Julie: the worst.",Nate and Julie are overbooked. Nate is having problems with the registration system so he has to deal with it himself.,"""I don't know what to say,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to go out there and do what I want to do.""

He said he"
"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.","Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.","""I think it's important for us to be able to do that,"" he said. ""I think that's what we're trying to do. I think we're going to continue to work on that."""
"Ethan: ok I’m back
Dustin: <file_gif>
Ray: hey. How was the meeting?
Ethan: boooriiiiing
Dustin: <file_gif>
Ethan: all the more that I’m all sore after yesterday
Ethan: <file_gif>
Ray: again? how often do you go to the gym bro?;D
Ethan: oh you know. I usually try every other day
Ethan: but this week I’ve trained every day
Dustin: whaaaa
Ray: you’re crazy
Ethan: some guys always go every day and they live
Dustin: yeah right. I’m so proud of myself if I go twice a week ;D
Ray: exactly!
Ethan: no pain no gain 
Dustin: so u training tonight? Or maybe
Dustin: <file_gif>
Dustin: ? :D
Ray: all riiiight :D now you’re talking;D
Ethan: I was going to…
Ethan: but you know…
Ray: 8pm my place?
Dustin: perfect
Ethan: how bout 9pm? I have to pick up the kids 
Ray: Ok, we’ll be waiting
Dustin: we will. Not sure if the magic potion will xD
Ethan: Ok I’ll text Sam to pick them up ;D
Ethan: see u at 8
Ray: <file_gif>",Ethan was at the gym yesterday. This week he has been training every day. Ethan and Dustin will come to Ray's place at 8pm.,"I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

If you're not sure what you're talking about, here are some things you should know:

1. You're not alone

There's no such thing as being alone"
"Ivan: hey eric
Eric: yeah man
Ivan: so youre coming to the wedding
Eric: your brother's
Ivan: yea
Eric: i dont know mannn
Ivan: YOU DONT KNOW??
Eric: i just have a lot to do at home, plus i dont know if my parents would let me
Ivan: ill take care of your parents
Eric: youre telling me you have the guts to talk to them XD
Ivan: thats my problem
Eric: okay man, if you say so
Ivan: yea just be there 
Eric: alright",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,"""I think it's important for us to do something about it,"" he said.

""It's important to us to make sure that we don't do anything that's going to make it worse.""

Topics: government-and-politics, federal-government, australia

First posted"
"Edward: I dont wanna go on that business trip tomorrow
Lauren: I am stressed af
Kate: I don't think its gonna be that bad
Lauren: The boss is coming with us 
Kate: Yea well 
Kate: I am ok with him 
Edward: You think its gonna be just a few meetings with clients 😶
Kate: Not only
Kate: We're going to an expo 
Kate: I hate the expo stuff
Kate: We have to pretend to be nice
Kate: But people coming to our booth actually have nothing to do with what we're doing 
Lauren: True
Edward: Expos are not as stressful as meetings tho 
Kate: Ye well 
Kate: We cant complain rn 
Lauren: we have to go anyway 
Lauren: 😑😑😑
Kate: See y'all there then","Edward doesn't want to go on the business trip tomorrow. Lauren's stressed about it, because their boss is coming with them. Kate think it's going to be ok. There will be meeting with clients and an expo.","""I think it's important for us to make sure that we're doing everything we can to ensure that we don't get caught up in this kind of thing,"" he said.

""We're going to continue to work with our partners and partners around the world to ensure we're not going to get caught"
"Abdellilah: Where are you?
Sam: work
Abdellilah: What time you finish?
Sam: Not til 5
Abdellilah: Are your bringing him over tonight:
Sam: No in the morning:
Abdellilah: ok, what time?
Sam: About 9. Is that ok?
Abdellilah: ok - see you then",Sam won't finish work till 5. Sam is bringing him over about 9 am. Sam will see Abdellilah in the morning.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it.""

He added: ""I think it's going to take some time. I think it will take a lot of time."
"Joseph: It's fuzzy but I think you can recognize what's that(^_-)-☆
Joseph: <file_photo>
Ella: Ooooo
Ella: Baby cows??(/◕ヮ◕)/(/◕ヮ◕)/(/◕ヮ◕)/
Joseph: Wujek Janek has tween cows:D
Ella: Twins* darling xD
Joseph: Oh yeah, sorry Twins*
Ella: Good for him!! So cool❤️❤️
Ella: Wanna touch them❤️❤️❤️",Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,"""We're not going to be able to do that,"" he said. ""We're going to have to do it in a way that makes sense.""

He added: ""It's going to take a lot of work to get it right, but we're very excited about it. We're excited about"
"Sam: so i started the career mode in fifa
Tim: 19?
Sam: yea
Sam: its so different from the one in 18 maaan
Tim: yeah?
Tim: whats different
Sam: alot of things
Sam: champions league for instance 
Sam: CHAMPIONS LEAGUE BABYY XD
Tim: cool xD",Sam started a career mode in FIFA.,"I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

If you're not sure what you're talking about, here's a list of things you can do to help:

1. Don't be afraid to ask for help."
"Anne: I hate that bitch!
Catherine: What did she do again???
Nora: Who's the bitch?
Nora: Sorry I missed something
Catherine: Miranda!!! 
Catherine: We all hate her
Anne: Yesterday she called Tom, was all sweet with him you know how she can be....
Catherine: No way she did it!! How dare she!! She knows you guys are dating.
Anne: I think that's why she did it. She wants to take Tom away from me.
Nora: Oh, come on! She's not his type!",Miranda called Tom yesterday and spoke to him in a sweet way. Anne is angry with her because Anne is dating Tom.,"""I don't know what to say to that,"" he said. ""I'm not sure what to think about it. I don't think it's a good thing. I think it is a bad thing.""

He added: ""It's not good. It's not a good idea. I'm"
"Drade: Mum he got out of the group chatting room
Marenda: I am sure he is angry!
Marenda: Why did you act that aggressively?
Marenda: You know your brother's temper
Drade: I just said what he had said was wrong!
Marenda: Apologize and send the invitation to him
Drade: Why should I?
Drade: I didn't say anything wrong!!!!!
Drade: He failed in his business, didn't he?
Marenda: But did you have to talk about it?
Drade: He acted like an asshole first
Marenda: Language! No need to talk about it more","Drade told her brother in the group chatting room that what he had said was wrong. Marenda thinks that he got out of it because he became angry, as he is short-tempered. Drade refuses to apologise and invite him again, since she feels that she is not the one to be blamed but him.","""I think it's important for us to be able to do that,"" he said. ""I think that's what we're going to have to do.""

He added: ""We've got a lot of work ahead of us. We've got to do what we can to make sure that we're"
"Luke: are you still looking for someone to join netflix family?
Paul: yes, 1 person :)
Luke: i am the one!
Paul: sure, i will send you the login and password on sunday
Luke: ok we can talk tomorrow
Paul: i don't really remember it now
Luke: send me also the bank account details so I can wire you the money every month. Are you paying for this or someone else?
Paul: I do, and I keep track of everyone accessing so you should not expect any bans :D
Luke: easy mate :D you still on holidays with your girl?
Paul: last dinner :( tomorrow we are out
Luke: how long have you been there?
Paul: less than 8 days :/",Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,"""I don't know what to say,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to get out there and play basketball.""

He said he's not sure if"
"Teacher: Rashi, why are you so low? 
Rashi: Ma’am I’m a bit confused about my career. 
Teacher: What is your confusion?
Rashi: I was discussing with my friends about the career options. 
Teacher: Hmm.
Rashi: There are too many to choose from.
Teacher: Choose a career based on what truly interests you. 
Rashi: I have many that interests me. How does it determine the career?
Teacher: The passion you have for what you do drives you to success. 
Rashi: But what about earnings?
Teacher: Remember at some point of time one should learn to balance between duties and success.
Rashi: How do I do that?
Teacher: Choose a career which interests you, get experienced and try to progress and widen the scope after a while.
Rashi: Hmm, ok.
Teacher: Something like earn and learn sort of..
Rashi: You are so right. I will remember this.
Teacher: So hope I managed to answer your questions.
Rashi: Yes mam! Thank you very much! 
Teacher : You are most welcome, Rashi.",Rashi is confused by too many career choices. Teacher advises him to choose something he has passion for and what interests him.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to go out there and do my job.""

""I just want"
"Ron: check your email :P
Josh: what did u send me?
Ron: sth you want to have. 
Ron: Check :D :D",Josh should check the email from Ron.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do that. I'm not going to do anything. I just want to go out there and play basketball.""

He said he's not"
"Grace: i didn't get to talk to you a lot at the party last night
Audrey: i know, i really wanted to catch up with you! :-(
Audrey: what's going on in your life?
Audrey: anything new?
Grace: not really, i'm excited about graduating soon
Grace: i think i'll apply for grad school but i'm still not sure
Audrey: you always have liked school lol
Grace: i've also thought of taking a year off
Audrey: that also sounds like a good idea!!!
Audrey: let me know when you make up your mind lol",Grace and Audrey didn't manage to talk at yesterday's party. Grace is about to graduate. She doesn't know if she will apply for a grad school or take a gap year.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it.""

He added: ""I think it's going to take some time. I think it will take a lot of time."
"Tom: we're few meters from you, can't you see us?
Jeffrey: lol, nope
Elena: c'mon, the red jacket!",Elena is wearing the red jacket and Jeffrey can't see her nor Tom.,"""I think it's important for us to be honest with ourselves about what we're doing,"" he said. ""We need to be transparent about what's going on. We need to make sure that we don't get caught up in what's happening.""

He added: ""We're not going to be"
"Greg: Hi there, I'm coming for a business trip soon and would stay for two nights longer in BG
Greg: Could I stay at your place?
Nina: Sure
Nina: How could you possibly ask that at all
Nina: Happy to see you soon
Greg: :-D
Greg: Super cool, see you soon! Kiss
Greg: I'm happy too
Nina: How do you come? Shall we pick you up from somewhere?
Greg: No Dear. I'll be going directly to work, they are picking me up; two days at work and then back to a city 
Greg: Don't prepare anything, please!
Nina: Ok, we are in touch 
Greg: <3",Greg asks Nina to accomodate him for two days while he's on a business trip.,"""I don't know what to say to that,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do anything. I just want to go out there and do what I can.""

He said he"
"Jayden: But I don't need kids. Kids means over. At least for a woman
Brennan: Over what ?
Jayden: The end of normal life. Being pregnant, suffering because of this etc
Brennan: Hmm so I need to look for another mother to my kids then. Haha
Jayden: Being obligated to be with the. 24h. Men have only sex and they wait for kids while women suffer
Brennan: I don't agree...
Jayden: I wish I could do the same. Then probably i would say the same like u.
Brennan: Guys like me would be there through it all to reduce the suffering
Jayden: Physical suffering. No one can do anything with this. I wish I could just have sex and wait for a baby while having a normal life. Not getting fat, having the same body, the same breast and not disgusting ... Not feeling sick, not having pain, being able to do every day stuff even like walking...
Brennan: It's gonna happen eventually
Jayden: I was I'm a store, behind me there was a pregnant woman, she dropped some money and she couldn't even take them from the floor... I had to help her
Brennan: That's because she's about to give birth
Jayden: I hope that maybe soon they will be possible to have a child without being pregnant. Yes! And she's suffering
Brennan: Any I'm sorry for feeding you with my bullshit
Jayden: While a man is doing his normal stuff. U mean the conversation?
Brennan: I hope you find a guy that can give you the sex you want and not get pregnant
Jayden: Would be awesome
Brennan: I'm gonna go to sleep now. Good night
Jayden: I said I don't want to have any children now! Maybe in the future when I have a good job, I'm financially independent. Good night",Jayden explains Brennan why she doesn't want to be pregnant.,"I'm not sure if this is a good thing or a bad thing, but I think it's a good idea.

If you're going to do this, you need to do it right. If you don't do this right, you're not doing it right, and you're doing it wrong."
"Aggie: When do you start work?
Peter: at 8 
Peter: why?
Aggie: no when do you start the new job?
Peter: oh on the 6th
Aggie: Ok I'll get a babysitter then
Peter: lol wanted a free babysitter
Aggie: yeah sorry :P",Peter starts his new job on the 6th. Peter wanted a free babysitter. Aggie will arrange for a babysitter.,"""I don't think it's going to happen,"" he said. ""I think we're going to have to wait and see what happens.""

He added: ""We're not going to be able to do anything about it. We're just going to do what we have to do.

"""
"Jill: So bored!
Nate: Well... can't help you there
Nate: Still at work
Jill: ugh I need to find a job
Jill: I've watched everything on youtube already
Nate: Doubt it :P I'll call you when I get off work",Jill is bored and has watched YouTube. Nate is at work and will call Jill when he finishes it.,"""I don't know what to say,"" he said. ""I'm not sure what to do. I don't think I'm going to be able to do it. I'm not going to do this.""

He added: ""I think it's going to take a long time. I think it"
"Damian: are you downtown?
Ethan: yes
Ethan: why?
Damian: can you buy me a kebab?
Damian: i'm starving
Ethan: why won't you cook something for both of us, huh?
Damian: man, give me a break, i had a rough day
Ethan: ok ok
Ethan: but i really wish you weren't such a parasite
Damian: i'll change, scout's honour",Ethan will buy Damian a kebab. Damian had a bad day.,"""I don't think it's going to happen,"" he said. ""I think we're going to have to wait and see what happens.""

He added: ""We're not going to be able to do anything about it. We've got to do what we have to do."""
